[BattleStart]|{HasSkill=99}
[BattleStart]|{Attack=-1001}{TargetAlly}{VCount=1}<NF><NEBlush><NEMouth\Normal><NEEyes\Shock><NEBrows\Sad>N-no...! Commander, did you just feed me so you could...? I-idiot!|
[BattleStart]|{Attack=-1001}{TargetAlly}Grrrr.... Yeah, yeah, I get it! Don't worry, Commander, I'm Brunch Squad, I used to it. I just though you might be better than the others...|
[BattleStart]|{Attack=-1001}<NF><NEBlush><NEMouth\Talk><NEEyes\Shock><NEBrows\Sad>Huh!? Commander, why!? Sh-she's an enemy!|
[BattleStart]|{Attack=1144}{50%}<NF><NEMoreBlush><NEMouth\Angry><NEEyes\Narrow><NEBrows\Normal>What, I can't digest (Vored)? I'll remember this later, Commander!|
[BattleStart]|{Attack=1144}<NF><NEMoreBlush><NEMouth\Shy><NEEyes\Normal><NEBrows\Sad>Y-You want me to kiss her, Commander?! I'll do it, but know that I'm not enjoying this!|
[BattleStart]|{Skill=0}Oops... O-oh no!|
[BattleStart]|{TypeVAttack}{VTargetLevel=1}{EnemyTargetVoredAlly}Don't worry, (TargetVored), I'll avenge you! I'll make your predator my lunch!|
[BattleStart]|{TypeVAttack}{TargetAlly}{VTargetLevel=1}<NF><NEBlush><NEMouth\Hungry><NEEyes\Normal><NEBrows\Sad>...Eh? C-commander, I can really eat both of them? *Slurp!* N-no strings attached?|
[BattleStart]|{TypeVAttack}{TargetAlly}<NF><NEBlush><NEMouth\Cocky><NEEyes\Normal><NEBrows\Happy>Hmm? You're actually going to let me eat (Target)? Did you finally recognize my greatness, Commander?|
[BattleStart]|{TypeVAttack}{VTargetLevel=1}<NF><NEBlush><NEMouth\Normal><NEEyes\Wink><NEBrows\Normal>Commander, the enemy is vulnerable! Let me finish her off for you!|
[BattleStart]|{TypeVAttack}{50%}Hmph! I... I'll prove to you all how strong of a predator I am!|
[BattleStart]|{TypeVAttack}Watch me, Commander! I'll gulp her down in a single shot!|
[BattleStart]|{TypeAttack}{50%}Take this!|
[BattleStart]|{TypeAttack}{50%}Give up!|
[BattleStart]|{TypeAttack}Concussing the enemy!|

[Targeted]|{HasSkill=99}
[Targeted]|{Skill=0}<NF><NEBlush><NEMouth\Cocky><NEEyes\Normal><NEBrows\Sad>Hmm? Oh- Don't worry, I've got you~♫|
[Targeted]|{TypeVAttack}{TargetAlly}{IsSafeOther}<NF><NEBlush><NEMouth\Angry><NEEyes\Narrow><NEBrows\Normal>This... isn't a trap, is it? I-I hear any stomach rumbling, and I'm coming right back out!|
[Targeted]|{TypeVAttack}{TargetAlly}{VCount>0}<NF><NEBlush><NEMouth\Normal><NEEyes\Shock><NEBrows\Sad>...Eh? C-commander!? Didn't I prove how good of a predator I am? What do you mean, let her eat you!? I... I can't believe you! Idiot!|
[Targeted]|{TypeVAttack}{TargetAlly}{50%}<NF><NEBlush><NEMouth\Talk><NEEyes\Narrow><NEBrows\Normal>C-commander, you stupid little... Ugh, fine, just get it over with.|

[AttackDesc]|{Attack=-1001}(Self) approaches (the)(Target)'s open mouth...|
[AttackDesc]|{Attack=8}<SERapidGun>(Self) fires point-blank at (the)(Target)!|
[AttackDesc]|{Attack=7}<SERapidGun>(Self) fires several shots from her pistol at (the)(Target)!|
[AttackDesc]|{Skill=0}<SEse_buchu3>(Self) slips and falls right into (the)(Target)'s open mouth!|
[AttackDesc]|{TypeVAttack}{Attack=1144}<SESwing2>(Self) approaches (Target), reaching for her lips...|
[AttackDesc]|{TypeVAttack}<SESwing2>(Self) grapples (the)(Target) and opens her mouth wide...|
[AttackDesc]|{TypeAttack}<SESwing2>(Self) swings the butt of her pistol at (the)(Target)!|

[AttackHitAttacker]|{Attack=-1001}
[AttackHitAttacker]|{Skill=0}
[AttackHitAttacker]|{Attack=8}<SEDoubleHit>The bullets pound into (Pro2nd)! (Damage) damage!|
[AttackHitAttacker]|{Attack=7}<SEDoubleHit>The bullets pound into (Pro2nd)! (Damage) damage!|
[AttackHitAttacker]|{TypeVAttack}<SEse_gulp1><SEeaten_by_monster2>...and swallows (Pro2nd) whole!|
[AttackHitAttacker]|{TypeAttack}<SEHits\hit10>Her weapon slams into (the)(Target)! (Damage) damage!|

[AttackHitTarget]|{Attack=-1001}<SEse_gulp1><SEeaten_by_monster2>...forcing (Pro2nd) way down her throat and into her stomach!|
[AttackHitTarget]|{Skill=0}<SEse_gulp1><SEeaten_by_monster2>...sliding straight down (Pro2nd) throat!|

[AttackMissAttacker]|{TypeVAttack}<SESwing1>...but is unable to swallow (Pro2nd)!|
[AttackMissAttacker]|<SESwing1>...but completely misses!|

[AttackHitAttackerS]|{HasSkill=99}
[AttackHitAttackerS]|{Skill=0}<NF><NEBlush><NEMouth\Angry><NEEyes\Shock><NEBrows\Sad>Wh... Huh!? N-no way! Th-that was just an accident! This can't be how it ends!|
[AttackHitAttackerS]|{TypeVAttack}{VTargetLevel=1}{EnemyTargetVoredAlly}<SRheavyBurp><SRheavyGrowl><BGGrowl><NF><NEMoreBlush><NEMouth\Hungry><NEEyes\Narrow><NEBrows\Sad>I- Urrrrp! I-I did it! ...Err- Whoops, I-I guess I'm going to digest you now, too, (TargetVored). A-at least you've got a nice resting place inside my guts, now!|
[AttackHitAttackerS]|{TypeVAttack}{TargetAlly}{VTargetLevel=1}<SRheavyGrowl><BGGrowl><NF><NEMoreBlush><NEMouth\Cocky><NEEyes\ClosedUp><NEBrows\Sad>Ahahaha, the way both of you are squirming around in there feels so good! Sorry, I guess the commander just likes me more than you!|
[AttackHitAttackerS]|{TypeVAttack}{VTargetLevel=1}<SRheavyBurp><SRheavyGrowl><BGGrowl><NF><NEMoreBlush><NEMouth\Hungry><NEEyes\Narrow><NEBrows\Sad>I... Urrrrrp! I-I've secured the enemy! Please... Urrrrp! P-please cover me while I digest them! Ah, th-this is bad...|
[AttackHitAttackerS]|{TypeVAttack}{TargetEnemy}{50%}<SRheavyGrowl><BGGrowl><NF><NEMoreBlush><NEMouth\Happy><NEEyes\Wink><NEBrows\Happy>Mmm... Th-that was tooo easy. Y-you're just meat now, so- Mmmph! -s-stop struggling and let me digest you.|
[AttackHitAttackerS]|{TypeVAttack}{TargetEnemy}{50%}<SRheavyGrowl><BGGrowl><NF><NEMoreBlush><NEMouth\Cocky><NEEyes\Narrow><NEBrows\Sad>Mmmph! Hahahaha, did you see that!? I- Mmph... I-I ate her like it was nothing! Aren't you impressed?|

[AttackHitTargetS]|{Attack=-1001}<SRheavyGrowl><NF><NEMouth\Talk><NEEyes\Closed><NEBrows\Sad>Corn, no... N-no more cake, please... That's too much...|
[AttackHitTargetS]|{HasSkill=99}
[AttackHitTargetS]|{Skill=0}<SEse_gulp5>*Gllrrrrrp!*/<NF><NEMoreBlush><NEMouth\Cocky><NEEyes\Narrow><NEBrows\Sad><SRheavyGrowl>Whooops~! Looks like I accidentally swallowed you, instead. Hmm, I guess I have no choice but to digest you now. Hahaha~|
[AttackHitTargetS]|{TypeVAttack}{TargetAlly}
[AttackHitTargetS]|{TypeVAttack}{50%}<NF><NEMouth\Angry><NEEyes\Narrow><NEBrows\Normal>D-damnit! I survived pretty long this time, too...|

[AttackMissAttackerS]|{HasSkill=99}
[AttackMissAttackerS]|{TypeVAttack}{50%}<NF><NEMouth\Normal><NEEyes\Normal><NEBrows\Normal>H-hey, don't dodge!|

[AttackMissTargetS]|{HasSkill=99}
[AttackMissTargetS]|{TypeVAttack}{50%}<NF><NEMouth\Cocky><NEEyes\Normal><NEBrows\Sad>Heh. What were you even aiming at?|

[Kiss]|<SRheavyGrowl><SRheavyBurp>Th-that was...! I-It's not like I did that on purpose or anything, idiot! O-our lips just happened to meet! Th... Thanks for the food...|

[Betrayed]|{VTargetLevel>1}<Nf><NeBlush><NeMouth\Talk><NeEyes\Shock><NeBrows\Sad>W-wait, you idiot! You're digesting us! Let us out!|
[Betrayed]|<Nf><NeBlush><NeMouth\Talk><NeEyes\Shock><NeBrows\Sad>W-wait, you idiot! You're digesting me! Let me out!|
