[BattleStart]|{HasSkill=99}
[BattleStart]|{Attack=-1001}<NF><NEMouth\Triangle><NEEyes\Normal><NEBrows\Down>Ah... Would you not rather have me eat her, instead? I could protect her inside me. ...No? *Sigh*|
[BattleStart]|{Attack=15}Preparing dinner service
[BattleStart]|{Attack=1144}{IsSafe}<NF><NEBlush><NEMouth\Grin><NEEyes\Pervy><NEBrows\Down>How cruel of you Master, to be using these girls you entrusted to me as nothing more than food~|
[BattleStart]|{Attack=1144}<NF><NEMouth\Triangle><NEEyes\Normal><NEBrows\UpDown>Are you sure you wanted me to digest the food you gave me, Master?/<NF><NEBlush><NEMouth\Lick><NEEyes\Pervy><NEBrows\Down>...Oh? You just wanted to see me kiss another girl? Don't worry, I'll be sure to please~ ♥|
[BattleStart]|{Attack=1142}{IsSafe}{VCount>2}<NF><NEBlush><NELines><NEMouth\Grin><NEEyes\Pervy><NEBrows\Down>A massage? It's going to be hard to reach her with all this belly fat in the way, but I'll do it for you, Master ♥|
[BattleStart]|{Attack=1142}{VLevel>4}<NF><NEBlush><NELines><NEMouth\Drool><NEEyes\Ahegao><NEBrows\Down><SRheavyGrowl><SRemptyGrowl><SRheavyBurp>Ahhh M-Master, please give me a moment to gather my thoughts~ ♥|
[BattleStart]|{Attack=1142}A massage? Certainly, Master.|
[BattleStart]|{Skill=0}Whoops... W-wait!|
[BattleStart]|{TypeVAttack}{CriticalHungry}<NF><NEMouth\Drool><NEEyes\Narrow><NEBrows\Down>S... so hungry... I could eat a whole elephant...|
[BattleStart]|{TypeVAttack}{TargetAlly}{IsSafe}<NF><NEMouth\Grin><NEEyes\Normal><NEBrows\Normal>Quick, get inside me, (Target). I will protect you!`Do not be shy... I promise I will not digest you.|
[BattleStart]|{TypeVAttack}{VTargetLevel=1}{EnemyTargetVoredAlly}{VLevel>4}Heeheehee, a (TargetVored) sandwich... I can't wait to see how it tastes.|
[BattleStart]|{TypeVAttack}{TargetAlly}{VLevel>4}Mmmph, heheheh... Another one, Master? Sure, I can always fit more~ ♫|
[BattleStart]|{TypeVAttack}{VTargetLevel=1}{EnemyTargetVoredAlly}Aww, too bad, (TargetVored). You know you would be safe if you had just been inside me. Now I will just have to digest the both of you!|
[BattleStart]|{TypeVAttack}{TargetAlly}Oh? Are you sure, Master? My tummy's pretty active right now... Heeheehee, bad luck, (Target), seems like you are going to get churned up with all the rest~ ♫|
[BattleStart]|{TypeVAttack}{VLevel>4}{50%}Mmmm... You look delicious~ ...Wanna have some fun inside me?|
[BattleStart]|{TypeVAttack}{VLevel>4}Mmmmph~ Bad luck... You're gonna look great on my hips.|
[BattleStart]|{TypeVAttack}{50%}{SetRoute=1}<NF><NEBlush><NEMouth\Lick><NEEyes\Narrow><NEBrows\Down>MmMmm, you look delicious... Forgive me, Master, there is nothing wrong with a maid engaging in a bit of self-service every now and again, is there?|
[BattleStart]|{TypeVAttack}{SetRoute=0}Mmmm~ I can digest this one right, Master?|
[BattleStart]|{TypeAttack}{50%}For Master!|
[BattleStart]|{TypeAttack}Orraa!|

[Targeted]|{HasSkill=99}
[Targeted]|{Skill=0}Oh, coming inside? Ahh....|
[Targeted]|{TypeVAttack}{TargetAlly}{IsSafeOther}<NF><NEMouth\Triangle><NEEyes\Normal><NEBrows\Normal>Eh...? Master, are you sure you would not rather have me carry her?|
[Targeted]|{TypeVAttack}{TargetAlly}{VTargetLevel>0}<NF><NEBlush><NEMouth\Triangle><NEEyes\Narrow><NEBrows\Down>...Huh? Aww, Master... I cannot even digest this girl, first?|
[Targeted]|{TypeVAttack}{TargetAlly}<NF><NEMouth\Grin><NEEyes\Closed><NEBrows\Down>Let her eat me? Hmmm...`It is a bit disappointing, but of course I will follow your orders to the letter, Master!|

[AttackDesc]|{Attack=-1001}(Self) approaches (the)(Target)'s open mouth...|
[AttackDesc]|{Skill=0}<SEse_buchu3>(Self) slips and falls right into (the)(Target)'s open mouth!|
[AttackDesc]|{Attack=15}<SESwing2>(Self) swings her massive axe down towards (the)(Target) from above!|
[AttackDesc]|{TypeVAttack}{Attack=1144}<SESwing2>(Self) approaches (Target), reaching for her lips...|
[AttackDesc]|{TypeVAttack}<SESwing2>(Self) pulls (the)(Target) in close...|
[AttackDesc]|{TypeAttack}<SESwing2>(Self) swings her gigantic axe at (the)(Target)!|

[AttackHitAttacker]|{Attack=-1001}
[AttackHitAttacker]|{Skill=0}
[AttackHitAttacker]|{TypeVAttack}<SEse_gulp1><SEeaten_by_monster2>...and swallows (Pro2nd) whole!|
[AttackHitAttacker]|{TypeAttack}{Attack=15}<SEHits\hit15>It slams into (Pro2nd), knocking (Pro2nd) down! (Damage) damage!|
[AttackHitAttacker]|{TypeAttack}<SEHits\hit15>She chops into (Pro2nd) flesh! (Damage) damage!|

[AttackHitTarget]|{Attack=-1001}<SEse_gulp1><SEeaten_by_monster2>...forcing (Pro2nd) way down her throat and into her stomach!|
[AttackHitTarget]|{Skill=0}<SEse_gulp1><SEeaten_by_monster2>...sliding straight down (Pro2nd) throat!|

[AttackMissAttacker]|{TypeVAttack}<SESwing8>...but is unable to swallow (Pro2nd)!|
[AttackMissAttacker]|<SESwing8>...but completely misses!|

[AttackHitAttackerS]|{HasSkill=99}
[AttackHitAttackerS]|{Skill=0}Mmph.... A-at least it did not happen on the dining floor this time...|
[AttackHitAttackerS]|{TypeVAttack}{TargetAlly}{IsSafe}<NF><NEMouth\Smile2><NEEyes\Closed><NEBrows\Normal>Mmph... Welcome to the Chateau Suite! Master has instructed me to protect you, so no harm shall befall you while you are inside me!|
[AttackHitAttackerS]|{TypeVAttack}{HasSkill=120}{TargetEnemy}{VCount>1}<NF><NEMouth\Triangle><NEEyes\Normal><NEBrows\Down>Oops... I swallowed an enemy with everyone inside me.../<SRheavyGrowl><SRemptyGrowl><BGGrowl><NF><NEBlush><NEMouth\Lick><NEEyes\Closed><NEBrows\Normal>...Oh well! I had better digest everyone, just to be safe!|
[AttackHitAttackerS]|{TypeVAttack}{HasSkill=120}{TargetEnemy}<NF><NEMouth\Triangle><NEEyes\Normal><NEBrows\Down>Oops... I swallowed an enemy with someone inside me.../<SRheavyGrowl><SRemptyGrowl><BGGrowl><NF><NEBlush><NEMouth\Lick><NEEyes\Closed><NEBrows\Normal>...Oh well! I had better digest both of them, just to be safe!|
[AttackHitAttackerS]|{TypeVAttack}{VTargetLevel=1}{VLevel>4}{EnemyTargetVoredAlly}<SEse_heavygrowl1><BGGrowl><NF><NEBlush><NELines><NEMouth\Lick><NEEyes\Pervy><NEBrows\Normal>Mmmm~ ♥ Master should start packing all my meals like this...|
[AttackHitAttackerS]|{TypeVAttack}{VLevel>4}{50%}<SRheavyGrowl><BGGrowl><NF><NEBlush><NELines><NEMouth\Lick><NEEyes\Pervy><NEBrows\Normal>S-so good... I-I wonder how many more I can fit... ♥|
[AttackHitAttackerS]|{TypeVAttack}{VLevel>4}{50%}<SRheavyGrowl><BGGrowl><NF><NEBlush><NELines><NEMouth\Lick><NEEyes\Pervy><NEBrows\Normal>*Slurp!* H-heheheh... F-feels good having so many girls inside me... ♥|
[AttackHitAttackerS]|{TypeVAttack}{VTargetLevel=1}{EnemyTargetVoredAlly}<SEse_heavygrowl1><BGGrowl>Let this be a lesson to you. ...Though I suppose you will not remember it once I am finished digesting you.|
[AttackHitAttackerS]|{TypeVAttack}{Route=1}<SRheavyGrowl><BGGrowl>Delicious... My apologies, Master, but some treats are too good to pass up. ♥|
[AttackHitAttackerS]|{TypeVAttack}{50%}<SRheavyGrowl><BGGrowl>Mmmph, what bad luck for you. ♥ It is not often that I am allowed to digest people in combat!|
[AttackHitAttackerS]|{TypeVAttack}{50%}<SRheavyGrowl><BGGrowl><NF><NEBlush><NEMouth\Lick><NEEyes\Closed><NEBrows\Normal>Delicious! ♥ Even the finest pastry cannot compare to this.|

[AttackHitTargetS]|{Attack=-1001}<SRheavyGrowl>Mmmph.... Another maid...? Yes please.....|
[AttackHitTargetS]|{HasSkill=99}
[AttackHitTargetS]|{Skill=0}<SEse_gulp5>*Gllrrrrrp!*/<SRheavyGrowl>I am impressed! It was quite bold of you to enter my stomach like that, knowing you would be digested!|
[AttackHitTargetS]|{TypeVAttack}{TargetAlly}
[AttackHitTargetS]|{TypeVAttack}<NF><NEMouth\Triangle><NEEyes\Shock><NEBrows\Down>N-no! I cannot let Master down!|

[AttackMissAttackerS]|{HasSkill=99}
[AttackMissAttackerS]|{TypeVAttack}{50%}<NF><NEMouth\Triangle><NEEyes\Normal><NEBrows\Angry>D-do not move so quickly!|

[AttackMissTargetS]|{HasSkill=99}
